ID,Condition,Mean Reward,Std Reward,Admitted/ep,Std Admitted,Redirected/ep,Std Redirected,Crit Unserved,Std Crit Unserved,Deaths/ep,Std Deaths,Overflow/ep,Std Overflow
L3_DQN,DQN mortality-pen=10,513.51,74.86,156.7,9.1,8.8,5.4,203.3,60.5,2.3,2.6,394.6,22.5
L4_PPO_1,PPO weights wc2_wm0.5,531.60,64.67,139.9,6.6,18.4,7.8,423.9,340.0,0.0,0.0,401.7,27.0
L4_PPO_2,PPO weights wc4_wm1,432.20,59.84,137.8,7.6,29.8,7.4,265.0,154.6,0.0,0.0,395.5,22.9
L4_PPO_3,PPO weights wc3_wm1.5_ws1,256.64,45.06,139.5,6.9,25.1,7.1,278.1,123.6,0.0,0.0,398.9,21.8
L4_DQN_1,DQN weights wc2_wm0.5,665.18,45.66,174.7,6.3,0.0,0.0,360.7,163.6,0.0,0.0,384.4,23.5
L4_DQN_2,DQN weights wc4_wm1,504.33,73.33,159.4,7.8,0.1,0.3,328.2,170.4,0.0,0.0,400.6,23.5
L4_DQN_3,DQN weights wc3_wm1.5_ws1,369.43,55.70,176.8,7.6,0.6,1.1,316.4,137.0,0.0,0.0,383.8,24.6
Greedy-L4_1,Greedy weights wc2_wm0.5,611.13,48.70,183.3,8.3,1.9,2.5,363.7,294.2,0.0,0.0,0.0,0.0
Greedy-L4_2,Greedy weights wc4_wm1,481.38,75.33,183.3,8.3,1.9,2.5,363.7,294.2,0.0,0.0,0.0,0.0
Greedy-L4_3,Greedy weights wc3_wm1.5_ws1,311.58,62.56,183.3,8.3,1.9,2.5,363.7,294.2,0.0,0.0,0.0,0.0
